ID	Quelle	Titel	Autor_normalisiert	GND	Jahr	Geschlecht	Gattung	Gattung1	Gattung1 (Allgemeinwissenschaft)	Gattung2	Erzähltes Medium	Erzählerposition	Happyend	Epoche (nach Jahr)	Epoche (nach Fachwissenschaft)	Strömung	Ort	Verlag	Originalsprache	URI
k00100000129	Kernkorpus/TextGrid	Der Katzenjunker	François, Louise von	118692577	1879	f	Roman	autobiographischer Roman				homodiegetisch	kein Happyend	Realismus	Realismus (2)				de	textgrid:n24m.0
k00100000130	Kernkorpus/TextGrid	Leib Weihnachtskuchen und sein Kind	Franzos, Karl Emil	118702599	1896	m	Roman	-				heterodiegetisch	kein Happyend	Moderne					de	textgrid:n262.0
k00100000131	Kernkorpus/TextGrid	Der Pojaz	Franzos, Karl Emil	118702599	1905	m	Roman	Bildungsroman::autobiographischer Roman::Entwicklungsroman::Erziehungsroman::Theaterroman	Entwicklungsroman::autobiographischer Roman	Individuum und Entwicklung		heterodiegetisch	kein Happyend	Moderne					de	textgrid:n25x.0
k00100000132	Kernkorpus/TextGrid	Wir Frauen haben kein Vaterland	Frapan, Ilse	11600987X	1899	f	Roman	Studentinnenroman				homodiegetisch	kein Happyend	Moderne					de	textgrid:n27h.0
k00100000133	Kernkorpus/TextGrid	Arbeit	Frapan, Ilse	11600987X	1903	f	Roman	-				heterodiegetisch	Happyend	Moderne					de	textgrid:n26w.0
k00100000134	Kernkorpus/TextGrid	Soll und Haben	Freytag, Gustav	118535455	1855	m	Roman	Bildungsroman::Gesellschaftsroman::Entwicklungsroman::Kaufmannsroman::Gegenwartsroman::Zeitroman	Gesellschaftsroman::Entwicklungsroman	Zeit und Gesellschaft/Individuum und Entwicklung		heterodiegetisch	Happyend	Realismus	Realismus (4)	bürgerlicher Realismus			de	textgrid:n2kf.0
k00100000135	Kernkorpus/TextGrid	Die verlorene Handschrift	Freytag, Gustav	118535455	1864	m	Roman	Gelehrtenroman::Bildungsroman		Zeit und Gesellschaft/Individuum und Entwicklung		heterodiegetisch	unbestimmbar	Realismus	Realismus (2)				de	textgrid:n2k5.0
k00100000136	Kernkorpus/TextGrid	Die Ahnen	Freytag, Gustav	118535455	1872	m	Roman	Professorenroman::Historischer Roman::Generationsroman		Zeit und Gesellschaft/Populäre Unterhaltung		heterodiegetisch	Happyend	Realismus	Realismus (4)	Gründerzeit			de	textgrid:n2kn.0
k00100000137	Kernkorpus/TextGrid	Virginia oder Die Kolonie von Kentucky	Frölich, Henriette	131967630	1819	f	Roman	Sozialutopie::Briefroman	Briefroman		Brief	homodiegetisch	Happyend	Romantik					de	textgrid:n2mb.0
k00100000138	Kernkorpus/TextGrid	Schloß Hubertus	Ganghofer, Ludwig	118537490	1895	m	Roman	Familienroman::Heimat-/Berg-/Dorfroman::Hochlandroman::negativer Gesellschaftsroman	Heimatroman	Zeit und Gesellschaft		heterodiegetisch	unbestimmbar	Moderne					de	textgrid:n3cb.0
k00100000139	Kernkorpus/TextGrid	Der Ochsenkrieg	Ganghofer, Ludwig	118537490	1914	m	Roman	Historischer Roman	historischer Roman	Populäre Unterhaltung		heterodiegetisch	Happyend	Moderne					de	textgrid:n3cg.0
k00100000140	Kernkorpus/TextGrid	Mademoiselle de Maupin	Gautier, Théophile	11853789X	1835	m	Roman	Briefroman	Briefroman		Brief	homodiegetisch	kein Happyend	Romantik					fr	textgrid:n3cz.0
k00100000141	Kernkorpus/TextGrid	Das Leben der schwedischen Gräfin von G...	Gellert, Christian Fürchtegott	118538322	1747	m	Roman	Familienroman::Moralisch-didaktischer Roman::bürgerlicher Familienroman::moralisch-empfindsamer Roman::Prüfungsroman::Briefroman		Zeit und Gesellschaft/Ideen und Religion	Erzählung::Brief	homodiegetisch	Happyend	Aufklärung	Aufklärung (2)| Aufklärung-Empfindsamkeit (2)	Empfindsamkeit			de	textgrid:n75p.0
k00100000142	Kernkorpus/TextGrid	Die Regulatoren in Arkansas. Aus dem Waldleben Amerikas	Gerstäcker, Friedrich	118538810	1846	m	Roman	Abenteuerroman::Zeitroman::Detektivroman::autobiographischer Roman::Amerikaroman::Wildwestroman	völkerkundlicher Roman	Zeit und Gesellschaft/Populäre Unterhaltung/Individuum und Entwicklung/Autobiographie		heterodiegetisch	Happyend	Realismus	Realismus (1)				de	textgrid:ndn4.0
k00100000143	Kernkorpus/TextGrid	Die Flußpiraten des Mississippi. Aus dem Waldleben Amerikas.	Gerstäcker, Friedrich	118538810	1848	m	Roman	Abenteuerroman::Amerikaroman::Reiseroman	Trivialroman::völkerkundlicher Roman	Populäre Unterhaltung		heterodiegetisch	kein Happyend	Realismus	Realismus (1)				de	textgrid:ndn1.0
k00100000144	Kernkorpus/TextGrid	Sebastopol	Goedsche, Herrmann	118599879	1855	m	Roman	-				heterodiegetisch	Happyend	Realismus					de	textgrid:nkbj.0
k00100000145	Kernkorpus/TextGrid	Die Leiden des jungen Werther	Goethe, Johann Wolfgang	118540238	1774	m	Roman	Liebesroman::Briefroman::Psychologischer Roman::Prüfungsroman	Briefroman::Schlüsselroman	Populäre Unterhaltung	Brief	homodiegetisch	kein Happyend	Aufklärung	Aufklärung-Sturm und Drang (2)| Aufklärung-Sturm und Drang&Empfindsamkeit (2)	Sturm und Drang			de	textgrid:11cvr.0
